DATE,CCIUAC,CCIUTC,CONB,CONQ,EEC,EEGP,EXVUS,FM1,FM1D82,FSPCAP,FSPCOM,FSPCON,IP,LHUR,LUINC,PW,RCARD,RTRR
JAN1980,67166,153636,48579,66820,7.4029999971,111,85.519999981,386.09999943,477.79999924,126.67999995,110.86999995,85.089999974,85.899999976,6.299999997,416,85.199999988,8.3399999999,79407
FEB1980,67119,153308,47759,64049,6.9619999975,118.59999996,86.369999945,389.79999924,476.5,131.26999998,115.33999997,83.139999986,86.199999988,6.299999997,397,86.899999976,7.8599999994,78787
MAR1980,66786,152347,46705,64831,6.8479999974,123,90.25999999,389.29999924,468.5,116.19999999,104.69,75.5,86.199999988,6.299999997,438,87.5,7.1399999969,77685
APR1980,65837,150937,45835,63913,5.9859999977,124.19999999,91.089999974,383.69999981,457.29999924,110.19999999,102.96999997,76.929999948,84.5,6.8999999985,532,87.799999952,5.9199999981,76658
MAY1980,65035,149238,46819,64598,5.8369999975,124.39999998,86.959999979,383.19999981,452.39999962,113.45999998,107.69,82.809999943,82.5,7.5,616,88.299999952,5.3199999966,76613
JUN1980,64224,147883,46169,63401,5.693,124.59999996,85.289999962,388.39999962,453.69999981,122.13999999,114.54999995,85.75999999,81.5,7.5999999978,581,88.699999988,5.75,77586
JUL1980,63472,146975,44611,63386,5.9439999983,124.69999999,84.649999976,392.79999924,458.89999962,129.25999999,119.82999998,88.979999959,81.199999988,7.799999997,510,90.299999952,6.4399999976,79311
AUG1980,63434,147395,44587,62604,5.875,124.29999995,86.089999974,400.09999943,464.19999981,136.54999995,123.5,93.619999945,82.399999976,7.6999999993,495,91.5,6.4299999997,80180
SEP1980,63115,147618,44484,63390,5.7939999998,123.09999996,85.5,405.59999943,466.69999981,142.09999996,126.50999999,95.409999967,83.5,7.5,488,91.699999988,6.3699999973,80439
OCT1980,62779,147161,44367,62785,6.1509999968,122.29999995,86.589999974,410.29999924,466.79999924,145.06999999,130.21999997,92.75999999,84,7.5,447,92.799999952,6.629999999,82076
NOV1980,62320,146413,45553,61449,6.2559999973,122.19999999,89.309999943,413.09999943,465.69999981,153.67999995,135.64999998,92.279999971,85.5,7.5,422,93.199999988,6.4599999972,82950
DEC1980,61536,147013,47913,67939,7.2049999982,123.09999996,90.98999995,408.79999924,456.79999924,149.77999997,133.47999996,90.299999952,85.899999976,7.1999999993,420,93.799999952,6.2899999991,83132
JAN1981,60124,145077,50434,71629,7.4599999972,126.89999998,91.379999995,411.59999943,455.29999924,147.22999996,132.96999997,94.609999955,85.199999988,7.5,424,95.199999988,6.5599999987,84943
FEB1981,59579,143429,50388,68784,6.3319999985,135.29999995,96.019999981,414.5,454.5,143.13999999,128.39999998,94.449999988,85.399999976,7.3999999985,410,96.099999964,7.3999999985,86059
MAR1981,59910,143397,51622,70660,6.4399999976,138.79999995,96.219999969,419.19999981,456.59999943,149.75999999,133.19,100.83999997,85.699999988,7.3999999985,413,97,7.6499999985,86518
APR1981,59849,143680,53436,66899,5.7089999989,138.09999996,98.799999952,427.29999924,462.89999962,150.79999995,134.42999995,105.95999998,85,7.1999999993,395,98,5.7399999984,85949
MAY1981,59819,143841,52920,64146,5.7649999969,137,103.58999997,424.19999981,456.09999943,146.77999997,131.72999996,104.66999996,85.599999964,7.5,401,98.299999952,5.799999997,85335
JUN1981,59907,145125,52479,63587,5.818,136.19999999,106.85999995,424.19999981,452.19999981,144.83999997,132.27999997,108.54999995,86.099999964,7.5,405,98.5,5.7799999975,86312
JUL1981,59907,145375,55185,62857,6.0229999982,135.29999995,109.86999995,425.89999962,449.29999924,140.09999996,129.13,101.63,87.099999964,7.1999999993,395,99,5.8599999994,86806
AUG1981,59745,145996,56545,61209,5.9229999967,134.79999995,112.28999996,427.69999981,447.89999962,141.13,129.63,110.03999996,86.899999976,7.3999999985,421,99,7.8099999987,88449
SEP1981,59451,147046,56231,63510,5.6499999985,135.79999995,107.97999996,428.09999943,444.09999943,126.59999996,118.26999998,93.669999957,86.5,7.5999999978,483,98.799999952,6.7299999967,87916
OCT1981,58875,146330,56734,63199,5.9729999974,135.29999995,106.33999997,429.5,444.19999981,123.97999996,119.79999995,96.889999986,85.799999952,7.8999999985,517,98.899999976,5.129999999,86679
NOV1981,58394,145592,57453,63658,5.9759999998,135.09999996,104.52999997,432.59999943,445.09999943,125.79999995,122.91999996,98.379999995,84.799999952,8.299999997,539,98.799999952,5.1399999969,86525
DEC1981,58081,147622,56774,67073,6.9219999984,134.79999995,105.20999998,436.39999962,447.59999943,128.22999996,123.78999996,98.369999945,84.099999964,8.5,551,98.799999952,4.9199999981,86818
JAN1982,57904,146782,57470,60618,7.2649999969,134.09999996,106.95999998,443.59999943,453.59999943,121.77999997,117.27999997,95.429999948,82.399999976,8.5999999978,563,99.699999988,5.3499999978,85994
FEB1982,57808,145788,58912,60712,6.2949999981,131.79999995,110.35999995,441.5,450.09999943,120.52999997,114.5,97.319999993,84.199999988,8.8999999985,514,99.799999952,6.25,88197
MAR1982,57868,145588,58888,63981,6.3549999967,126.79999995,112.44999999,442.5,451.09999943,112.42999995,110.83999997,97,83.699999988,9,566,99.599999964,5.8699999973,87649
APR1982,57950,146186,59685,62806,5.8489999995,121,114.06999999,447.09999943,454.39999962,117.31999999,116.30999994,102.90999997,83.199999988,9.299999997,566,99.599999964,5.4699999988,87777
MAY1982,57717,146167,58445,61892,5.4109999985,122.39999998,111.02999997,446.5,449.59999943,115.83999997,116.34999996,103.80999994,82.699999988,9.3999999985,585,99.799999952,6.379999999,88817
JUN1982,57868,147227,60143,62151,5.373999998,129.59999996,116.96999997,447.19999981,445,105.96999997,109.69999999,100.91999996,82.399999976,9.5999999978,551,100,5.129999999,87424
JUL1982,57882,147559,59198,61232,5.6439999975,131.79999995,118.90999997,447.39999962,443.39999962,106.33999997,109.38,102.65999997,82,9.799999997,533,100.39999998,5.1799999997,88977
AUG1982,57992,148438,58312,63801,5.6219999976,131,119.63,451.79999924,446.89999962,106.33999997,109.64999998,102.45999998,81.599999964,9.799999997,605,100.29999995,5.3499999978,88556
SEP1982,58542,149801,57238,65020,5.3719999976,129.5,120.92999995,457.5,452.09999943,119.60999995,122.42999995,115.50999999,81,10.099999998,653,100,6.1799999997,89564
OCT1982,58332,149220,57873,64322,5.5449999981,128,123.15999997,466.09999943,458.29999924,131.63999999,132.65999997,126.42999995,80.299999952,10.399999999,651,100.19999999,5.3299999982,90671
NOV1982,58256,149021,58048,66310,5.8169999979,126.79999995,124.26999998,472.19999981,464.79999924,139.34999996,138.09999996,133.26999998,80,10.799999997,616,100.29999995,6.4799999967,92490
DEC1982,59555,152490,55895,62322,6.2919999994,124.39999998,119.21999997,474.39999962,468.79999924,142.63,139.36999995,134.75,79.299999952,10.799999997,531,100.5,6.129999999,92111
JAN1983,57135,150131,55310,66061,6.4829999991,121.29999995,117.72999996,478,470.89999962,151.02999997,144.26999998,133.07999998,80.799999952,10.399999999,507,100.19999999,5.7799999975,91607
FEB1983,56758,148709,51758,61419,5.6849999987,117,119.69999999,483.79999924,476.19999981,154.07999998,146.79999995,133.88999999,80.699999988,10.399999999,478,100.5,5.9899999984,91796
MAR1983,56745,148997,50684,60130,6.0579999983,113.5,120.70999998,490.09999943,481.89999962,159.03999996,151.88,144.42999995,81.299999952,10.299999997,479,100.39999998,6.0799999982,94153
APR1983,56865,149311,49491,60165,5.5319999978,119.79999995,121.81999999,494,482.89999962,163.81999999,157.70999998,149.92999995,82.299999952,10.199999999,470,100.39999998,6.5399999991,94672
MAY1983,57352,149601,49278,62171,5.3539999984,124.29999995,122.04999995,499.79999924,486.19999981,173.33999997,164.09999996,154.89999998,83.199999988,10.099999998,453,100.79999995,6.8099999987,96105
JUN1983,58231,152065,51834,62733,5.3639999963,126.09999996,125.15999997,503.5,488.79999924,177.88999999,166.38999999,156.13,83.699999988,10.099999998,406,101,7.25,98122
JUL1983,59695,154914,52851,63713,5.6999999993,127.19999999,126.61999995,508.09999943,491.39999962,180.41999996,166.95999998,157.69,85.299999952,9.3999999985,380,101.29999995,7.1999999993,98885
AUG1983,62178,158402,53789,66927,5.9219999984,126.89999998,129.76999998,510.59999943,492.39999962,176.41999996,162.41999996,150.31999999,86.5,9.5,408,101.79999995,6.7199999988,97724
SEP1983,63448,160973,53251,65782,5.5379999988,125.69999999,129.73999995,512.89999962,493.19999981,182.88999999,167.15999997,155.42999995,87.899999976,9.1999999993,387,102,6.8699999973,99235
OCT1983,64780,163274,51315,61720,5.6479999982,123.89999998,127.5,518.29999924,496,183.08999997,167.64999998,160.19999999,88.599999964,8.799999997,386,102.19999999,7.1599999964,100807
